uvyqVZFxSqc,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T07:54:23.000Z,17,155,785031
Wp8BoG5FOIM,UCiWLfSweyRNmLpgEHekhoAg,6000000,2019-11-09T02:11:41.000Z,17,321,426812
MvETB9gNUz0,UCTv-XvfzLX3i4IGWAm4sbmA,4790000,2019-11-09T22:47:42.000Z,17,91,3254184
4cddYFq9ZQk,UCi7GJNg51C3jgmYTUwqoUXA,7430000,2019-11-09T17:00:00.000Z,23,128,322088
tzeMZc34DTA,UCpi8TJfiA4lKGkaXs__YdBA,6520000,2019-11-09T16:00:10.000Z,23,1381,1987308
uOyiZWiuCH8,UCXIJgqnII2ZOINSWNOGFThA,3760000,2019-11-09T03:49:42.000Z,25,185,370052
6byFOyExbzs,UCp0hYYBW6IMayGgR-WeoCvQ,35200000,2019-11-09T15:00:00.000Z,24,363,471009
XO1fNrVROKs,UCTv-XvfzLX3i4IGWAm4sbmA,4790000,2019-11-09T23:00:03.000Z,17,91,1371501
JFXm_Ay7fRM,UCTv-XvfzLX3i4IGWAm4sbmA,4790000,2019-11-09T23:00:00.000Z,17,91,650442
4FG_ExEvKxg,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T06:05:56.000Z,17,238,143613
tmeMcLNx8jo,UCiWLfSweyRNmLpgEHekhoAg,6000000,2019-11-09T04:58:44.000Z,17,259,329485
pRuw_8R3a8g,UCGCVyTWogzQ4D170BLy2Arw,7460000,2019-11-09T16:28:41.000Z,24,1084,1948994
BAaGOazzeqw,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T06:48:47.000Z,17,217,163435
tdvITEg_dHI,UCNAf1k0yIjyGu3k9BwAg3lg,1620000,2019-11-09T12:00:14.000Z,17,96,121614
Ee8DTzEQEOY,UCiWLfSweyRNmLpgEHekhoAg,6000000,2019-11-09T05:45:10.000Z,17,274,162594
iKUFCX6hdhM,UCTv-XvfzLX3i4IGWAm4sbmA,4790000,2019-11-09T23:00:09.000Z,17,91,158271
_N33viV5IEI,UCTv-XvfzLX3i4IGWAm4sbmA,4790000,2019-11-09T20:48:45.000Z,17,91,1437384
hinUufCCJM8,UCooTLkxcpnTNx6vfOovfBFA,627000,2019-11-09T22:28:40.000Z,17,131,314323
DrMNHN_OjAE,UCi7GJNg51C3jgmYTUwqoUXA,7430000,2019-11-09T17:00:02.000Z,23,73,351528
7l1_r8a6wBY,UCWOA1ZGywLbqmigxE4Qlvuw,11700000,2019-11-09T19:00:00.000Z,24,174,101866
EoCUC4zu7vw,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T16:23:02.000Z,17,839,304836
21vWn3QoRcw,UCXIJgqnII2ZOINSWNOGFThA,3760000,2019-11-09T01:54:35.000Z,25,196,140061
0pXkari-b5M,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T21:10:39.000Z,17,952,422800
VRH9sM9Q4LM,UCiWLfSweyRNmLpgEHekhoAg,6000000,2019-11-09T01:00:02.000Z,17,186,146948
mzEilNDSh-c,UC9-OpMMVoNP5o10_Iyq7Ndw,1470000,2019-11-09T07:01:14.000Z,17,94,136493
OibgYxJ9KPU,UCIEv3lZ_tNXHzL3ox-_uUGQ,11800000,2019-11-09T17:00:02.000Z,24,188,1135423
tdbwP6q5aIs,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T06:09:21.000Z,17,574,134007
ilE4lr9Qb3A,UCw6sbdbTWFDnjC-9Vi4g1eg,172000,2019-11-09T14:00:05.000Z,23,308,138187
kqFMquRAml0,UC1zZE_kJ8rQHgLTVfobLi_g,12100000,2019-11-09T23:03:51.000Z,27,736,1794032
jXL8diJVtKY,UC0YatYmg5JRYzXJPxIdRd8g,222000,2019-11-09T20:06:56.000Z,24,333,110048
atRlhQCBoyk,UCTv-XvfzLX3i4IGWAm4sbmA,4790000,2019-11-09T23:00:00.000Z,17,90,75098
XRhguKIm58Q,UCt8jfvd9skBAOT6XJwc_mJg,1210000,2019-11-09T02:59:45.000Z,24,292,70937
3SMSUBgZPjQ,UCqhnX4jA0A5paNd1v-zEysw,7960000,2019-11-09T17:00:01.000Z,17,120,357852
p8GnFrvEUPg,UCNAf1k0yIjyGu3k9BwAg3lg,1620000,2019-11-09T21:14:39.000Z,17,149,124406
RYD_SWas2LA,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T19:24:40.000Z,17,610,66775
1ap9VJViZTQ,UCp0hYYBW6IMayGgR-WeoCvQ,35200000,2019-11-09T14:00:00.000Z,24,149,88558
ek-n0c9yKic,UCJ5v_MCY6GNUBTO8-D3XoAg,50900000,2019-11-09T03:48:15.000Z,17,167,286758
iSgjwG5ppts,UC9-OpMMVoNP5o10_Iyq7Ndw,1470000,2019-11-09T15:02:37.000Z,17,225,65923
n8zpzQNYdrc,UCNAf1k0yIjyGu3k9BwAg3lg,1620000,2019-11-09T08:00:06.000Z,17,265,306787
XP6Gm8LKkQY,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T05:14:24.000Z,17,326,105991
hdLN_M3F7eo,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T05:45:57.000Z,17,567,64377
hP1EFUMhfZA,UCiWLfSweyRNmLpgEHekhoAg,6000000,2019-11-09T07:45:01.000Z,17,213,167053
DJ6eFBF6gTc,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T14:48:43.000Z,17,109,54023
dnWtJfYMZZ4,UCXIJgqnII2ZOINSWNOGFThA,3760000,2019-11-09T00:58:51.000Z,25,372,248555
GopKaf11F5Y,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T18:26:27.000Z,17,632,60440
WdZowGPtZJE,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T04:12:34.000Z,17,558,98947
dmAnlB4zmSM,UC9-OpMMVoNP5o10_Iyq7Ndw,1470000,2019-11-09T06:26:45.000Z,17,283,68989
y_ziBdLhQBY,UCvJJ_dzjViJCoLf5uKUTwoA,1170000,2019-11-09T15:00:15.000Z,25,780,943865
WbEQ7XgW3e0,UC_JQGBtA7P0RwkRxd7xpJcA,503000,2019-11-09T00:19:29.000Z,17,479,2438381
HDwP6_623KY,UCqFzWxSCi39LnW1JKFR3efg,9110000,2019-11-09T17:00:05.000Z,24,1094,186123
qjNJDIXXnSk,UCqQo7ewe87aYAe7ub5UqXMw,1730000,2019-11-09T04:04:07.000Z,17,163,16871
oxDTCfPryTI,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T18:35:59.000Z,17,952,191834
Z6iiV1pm3ac,UCqZQlzSHbVJrwrn5XvzrzcA,1020000,2019-11-09T19:14:30.000Z,17,615,43344
19ZZBsMibF8,UCNAf1k0yIjyGu3k9BwAg3lg,1620000,2019-11-09T14:05:35.000Z,17,590,300889
